Name of application;Domains;Website;Where it works;TRL level;Disease;Link AppStore;Link Google Play;Icon App Link;Description
Biobeat;Cardiovascular and Vital Signs Monitoring;https://www.bio-beat.com/;Web, Android & iOS;7-8;Cardio;https://play.google.com/store/apps/details?id=cloud.biobeat.HOME_CARE_PATCH&hl=en_US;https://play.google.com/store/apps/details?id=cloud.biobeat.STUDY_COLLECT&hl=en_US;https://static.wixstatic.com/media/cb6be9_08c7c630e97d428db9b7ea8f216dd510~mv2.png/v1/crop/x_125,y_133,w_441,h_266/fill/w_125,h_70,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Biobeat%20logo_2x.png;Biobeat provides a wearable device that monitors cardiovascular and vital signs, including heart rate, blood pressure, and oxygen levels.
Blood Sugar Diary for Diabetes;Blood Glucose Tracking, Activity Tracking, Reports and Charts;-;Web, Android & iOS;TRL 7;Diabet;Blood Sugar Diary for Diabetes on the App Store;Blood Sugar Diary for Diabetes - Apps on Google Play;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/64/71/cb/6471cbe3-931b-61f4-7f2c-bf3daf59da84/AppIcon-0-0-1x_U007epad-0-85-220.png/246x0w.webp;Blood Sugar Diary for Diabetes is an app that helps users log and monitor blood glucose levels, track medication, record meals, and manage physical activity.
BlueLoop;Health, Diabetes Management;https://blueloop.mycareconnect.com/;Web, Android & iOS;8;Diabet;https://apps.apple.com/us/app/blueloop/id457845904;https://play.google.com/store/apps/details?id=com.blueloop3.mycareconnect&hl=en_US;https://play-lh.googleusercontent.com/v5MZ5AgsdngvwZLHtb-sa-24Sab5nSb5Um1_IKVCAPKWdH21qKXLgPvAWUrN3iqd8LFH=w240-h480-rw;It allows users to record blood glucose levels, insulin doses, and other data. Features include data sharing with family and the medical team, reminders, and activity logs.
BlueZone;Prevention;-;Android & iOS;TRL 8;Prevention;https://apps.apple.com/us/app/bluezone/id1616849310;https://play.google.com/store/apps/details?id=net.senkron.lapis.bluezone&hl=en_US;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/02/99/de/0299defb-f413-2ec1-4530-78da53a861ba/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.webp;This app focuses on preventing the spread of infectious diseases through contact tracing and exposure notifications. It uses Bluetooth technology to alert users if they've been in close contact with someone who has tested positive for a contagious illness, such as COVID-19. By providing timely notifications and guidance on preventive measures, BlueZone helps users reduce the risk of disease transmission and protect public health.
Breathe2Relax;support;-;Android & iOS;TRL 8;Mental Health;https://apps.apple.com/us/app/breathe2relax/id425720246;https://play.google.com/store/apps/details?id=mil.dha.breathe2relax;https://is1-ssl.mzstatic.com/image/thumb/Purple115/v4/c8/8c/5d/c88c5d21-e63d-5c55-d032-7317be0c0d25/AppIcon-1x_U007emarketing-85-220-0-8.png/230x0w.webp;It is a mobile app designed to help users manage stress and anxiety through guided breathing exercises.It is a tool for improving emotional and physical well-being.
Calcium;Medical Data - real-time updates, progress reports and care team alerts;https://www.calciumhealth.com/;Web, Android & iOS;TRL 9;Prevention;https://apps.apple.com/us/app/calcium-health-guide/id1456672044;https://play.google.com/store/apps/details?id=com.myhealthchampion.mobile&hl=en_IN;https://play-lh.googleusercontent.com/GcKw8wf91VJWpzAmjjZ_lsZkL_XsfXyWpD_HfOk8kNVaVVDnfj0BVgcGhIymelcyyA=w240-h480-rw;Calcium is a health & medical app that pulls in your health data from hospitals & health systems – and many of the top fitness and medical devices (including Fitbit and Apple Health).
Calm;support;https://www.calm.com/;Web, Android & iOS;TRL 9;Mental Health;https://apps.apple.com/us/app/calm/id571800810;https://play.google.com/store/apps/details?id=com.calm.android;https://play-lh.googleusercontent.com/S76GphUu2pZa249td2Bb4XAhLcPRrFdL1zp_5qU1ouukvRq9r0-8jJ-CruaTtdT6g84=w240-h480-rw;It is a popular platform focused on mental well-being, particularly through mindfulness, meditation, and sleep enhancement.
Cancer Exercise;Providing exercise programs;-;Android & iOS;around TRL 7;Cancer;https://apps.apple.com/us/app/cancer-exercise/id1520696105;https://play.google.com/store/apps/details?id=com.inspiringapps.cancerexercise;https://play-lh.googleusercontent.com/AsiBqAAI2uN3m0KC7baGxRL1tIDk6lNBVUTrQiW5f__Nz3ag8VKRTz73dqonwiqMFBeB=w240-h480-rw  ;It focuses on providing exercise programs and resources tailored for individuals undergoing cancer treatment or recovery. Exercise is a crucial part of cancer care, helping to manage symptoms, improve physical function, and enhance overall well-being.
Cancer Support Community;Support cancer patients;https://www.mycarecrew.com/lander  ;Web & Android;TRL8;Cancer;-;https://play.google.com/store/apps/details?id=com.mycarecrew  ;https://play-lh.googleusercontent.com/MR5ctXCz2TKYCarxIcTllaqhO1imRu-CVq-VOrAo5E9PQY526BJAgIYDVONW4Gqs8Q=w240-h480-rw  ;It is an application designed to help cancer patients, their families, and caregivers manage and coordinate care throughout the cancer journey. It focuses on providing support, communication tools, and resources to assist in managing cancer care effectively.
CancerAid;Support cancer patients;https://osarahealth.com/;Web, Android & iOS;around TRL 7;Cancer;https://apps.apple.com/us/app/canceraid/id1138574844  ;https://play.google.com/store/apps/details?id=au.com.canceraid  ;https://play-lh.googleusercontent.com/usO9KiJhyQx-Ohhodg5mSCzqoGU1XWnDWVwR7VJiqDACW8iSiCUO2a9p-cpXTx3dd3Q=w240-h480-rw;It is an app designed to support cancer patients and their caregivers by providing tools and resources for managing cancer care. It offers features that help patients track their treatment progress, manage symptoms, and connect with a community of support.
Cardi Health;CVD;https://cardi.health/;Web, Android & iOS;TRL 8;Cardio;Cardi Health: Heart Health App on the App Store;Cardi Health: Heart Monitoring - Apps on Google Play;https://play-lh.googleusercontent.com/18S_4TSTs86WMiBIoENeYnHJ6iZJ_ElXSXS719BcsC5MJMt0G11TLH5WCG2VjawSmRc=w240-h480-rw;Cardi Health is a digital health platform focused on cardiovascular health. It offers tools for monitoring and managing heart health, such as tracking vital signs, providing educational content, and delivering personalized insights and recommendations based on user data. The platform may integrate with wearable devices to collect real-time data and facilitate remote health management.
Cardiogram;wearable technology, health monitoring and analytics;https://cardiogram.com/ ;Web, Android & iOS;TRL 9;Cardio;https://apps.apple.com/us/app/cardiogram-heartiq-migraineiq/id1000017994 ;https://play.google.com/store/apps/details?id=com.cardiogram.v1 ;https://play-lh.googleusercontent.com/KQc4BM1veC6KV8D3A7nrddnFqtLzWyQw5IstjaAprr9hJUkleRvt8xdlYUmQtj5xF9g=w240-h480-rw ;It is a term that can refer to several different things related to heart activity or heart health, depending on the context.
CardioVisual;cardiovascular health education and patient engagement;https://cardiovisual.com/ ;Web, Android & iOS;around TRL 9;Cardio;https://apps.apple.com/us/app/cardiovisual-heart-health/id1009028152;https://play.google.com/store/apps/details?id=com.cardiovisual.app ;https://play-lh.googleusercontent.com/hkXkVfFHEG98pOYdsi4nc1U9auiwtopi-FiiB4NkZNcGAlPg9B4oziEoop4-kiCYkw=w240-h480-rw ;It is a mobile app designed to enhance cardiovascular health education and patient engagement through visual and interactive content. Developed to support both healthcare professionals and patients, CardioVisual aims to make complex cardiovascular concepts more accessible and understandable.
CareClinic;Health Tracking;https://careclinic.io/;iOS, Android, Website;7;Prevention;https://apps.apple.com/us/app/tracker-reminder-careclinic/id1455648231?utm_source=careclinic&utm_medium=organic&utm_content=front-page&utm_campaign=website;https://play.google.com/store/apps/details?id=com.careclinicsoftware.careclinic&utm_source=careclinic&utm_medium=organic&utm_content=front-page&utm_campaign=website;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/be/13/48/be1348bc-2a44-9d02-4074-64c3bad62275/AppIcon-1x_U007emarketing-0-7-0-85-220-0.png/246x0w.webp;Health diary and symptom tracker.
Clue;Women's Health;https://helloclue.com/;iOS, Android, Website;8;Prevention;https://app.adjust.com/9k46tu?campaign=Non-Article+Page&adgroup=%2F&creative=Home+Page&fallback=https%3A%2F%2Fapps.apple.com%2Fus%2Fapp%2Fclue-period-tracker-fertility%2Fid657189652&redirect_macos=https%3A%2F%2Fapps.apple.com%2Fus%2Fapp%2Fclue-period-tracker-fertility%2Fid657189652;https://app.adjust.com/9k46tu?campaign=Non-Article+Page&adgroup=%2F&creative=Home+Page&fallback=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.clue.android%26hl%3Den&redirect_macos=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.clue.android%26hl%3Den;https://play-lh.googleusercontent.com/FGULXsKpMz-SctALJKzI8WZ8-IZjvI3_pdltt1JCXeQ-ES-K9k4tgvPpUUFaEaCG8es=w240-h480-rw;Period tracker and menstrual health app.
CureMetrix;AI, detection and diagnostic support;https://curemetrix.com/;Web;TRL 8;Cancer;-;-;-;CureMetrix is an AI-powered app designed to assist radiologists in analyzing mammograms. It provides enhanced detection and diagnostic support for breast cancer by improving accuracy and reducing false positives. The app leverages artificial intelligence to offer advanced image analysis and insights.
Dario;Manage chronic conditions;https://www.dariohealth.com/  ;Web & iOS;TRL 9;Diabet;https://apps.apple.com/us/app/dario-health/id571322125  ;-;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/29/1b/14/291b145a-f5f7-23c4-cb93-3066c3100125/AppIcon-Prod-0-0-1x_U007ephone-0-10-0-85-220.jpeg/230x0w.webp ;It is a digital health platform designed to help individuals manage chronic conditions such as diabetes, hypertension, and weight management. It offers tools for tracking various health metrics, provides personalized insights, and integrates with connected devices for comprehensive health monitoring.
Daylio;Mental Health, with a Focus on Mood Monitoring and Self-Reflection;https://daylio.net/;Web, Android & iOS;8;Mental Health;https://apps.apple.com/us/app/daylio-journal-daily-diary/id1194023242;https://play.google.com/store/apps/details?id=net.daylio&hl=ro;https://play-lh.googleusercontent.com/wweiF4j7oCrolJVXpqaBf7egP7ia8j0nt4b97ebS7BcRRQLLIp6fA3HDX0qT1qd4UQ=w240-h480-rw;A mood journal that allows users to record how they feel and what activities they have done.
Features: Customizable mood journal, detailed reports.
deprexis;depressive episodes, Recurrent depressive disorder;https://de.deprexis.com/;Web app;TRL 8;Mental Health;-;-;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIYb6x-G1h_Tl7Y2IfVwdQb3trkpVuvQImRw&s;Deprexis is an effective and innovative therapy that has been used worldwide for many years to treat adults with unipolar depression of mild, moderate, or severe intensity.
Dexcom G6;Monitoring and Notification ;-;Android & iOS;TRL 9;Diabet;Dexcom G6 on the App Store;Dexcom G6 - Apps on Google Play;https://play-lh.googleusercontent.com/MOqvFbzCQR7nz8B8dLFN8zmXG_GivIYS_TIU6EHzTAxFHS2fzfsh8xowb1oP7o8Ptgfi=w240-h480-rw;This app is used in conjunction with the Dexcom G6 Continuous Glucose Monitoring (CGM) system. It provides real-time glucose readings, trends, and alerts directly to your smartphone. The app helps users track their glucose levels continuously, making it easier to manage diabetes and make timely adjustments to their insulin regimen or lifestyle.
Diabetes:M;Blood Glucose Tracking, Medication Management, Meal and Carbohydrate Logging, Activity Tracking;https://diabetes-m.com/;Web, Android & iOS;TRL 8;Diabet;Diabetes:M on the App Store;Diabetes:M - Blood Sugar Diary - Apps on Google Play;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/f0/c4/68/f0c46811-f105-11d6-d3ad-b4728b0c3cb8/AppIcon-0-0-1x_U007emarketing-0-7-0-85-220.png/246x0w.webp;Diabetes:M is a comprehensive diabetes management app that allows users to track blood glucose levels, medication, meals, and physical activity. It provides detailed reports and visual insights to help users effectively manage their diabetes.
Diabetes:M;medical nutrition;https://diabetes-m.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/diabetes-m/id1196733537;https://play.google.com/store/apps/details?id=com.mydiabetes;https://play-lh.googleusercontent.com/aMkPFTtGHdW550VQYpD0Q0_X2eNPApCgpTo1Z5rEpHN0aJyc8u8HOpBK5un7l-1-f4E=s48-rw;This app will help you better manage your diabetes and keep it under control.
DMINDER;monitoring immune system & quality of sleep;https://dminder.ontometrics.com/;Web, Android & iOS;TRL 8;Prevention;https://apps.apple.com/us/app/d-minder-pro/id547102495?at=&ct=&ign-mpt=uo%3D6;https://play.google.com/store/apps/details?id=com.ontometrics.dminder;https://play-lh.googleusercontent.com/azkz0DVccB8ZpcT2PQZIVeNuSfnZjKS0QLgJOKBpX6A6NAYFudoviGfc4AbC5pmAKE4=w240-h480-rw;Comprehensive Vitamin D tracking app. It uses the GPS on your phone to find out where you are on the planet, when it calculates you can get D, how much of it, you can do and it gives you a timer.
Doctolib;medical guide;https://www.doctolib.fr/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/doctolib-trouvez-un-m%C3%A9decin/id925339063;https://play.google.com/store/apps/details?id=fr.doctolib.www;https://play-lh.googleusercontent.com/5mfgTn0SHVnTcjRS5V1vMYeNZ7Wjn2Y1YX5xq1jKq3AN5k3SMF9dcz3dLT4HiK4n7Ls=w240-h480-rw;Track your health easily with the Doctolib app: access the availability of thousands of health professionals, book medical appointments online 24/7, message doctors and therapists, keep appointment history and medical documents and many more.
Dr. on demand;telemedicine;https://doctorondemand.com/;iOS, Android, Website;9;Prevention;https://apps.apple.com/us/app/doctor-on-demand/id591981144;https://play.google.com/store/apps/details?id=com.doctorondemand.android.patient&hl=en;https://play-lh.googleusercontent.com/5K_-kBHMCajSv9wJuehOOBkIN687TIsR7kyYR_pxn8HK16SUZhkOLW4O8biaYqZRbQA=w240-h480-rw;Telemedicine app offering virtual doctor consultations.
Drugs.com Medication Guide;medical guide;https://www.drugs.com/apps/;Web, Android & iOS;TRL 9;Prevention;https://apps.apple.com/us/app/drugs-com-medication-guide/id599471042;https://play.google.com/store/apps/details?id=com.drugscom.app;https://play-lh.googleusercontent.com/hPbxJhnceggrITJpS-iqh-UDVqPWgWKIsQGBPL9AFnjSfKi9jm_VpOIvijhbupeO5A=w240-h480-rw;The easiest way to search for drug information, identify pills, check interactions and create your own personal drug records.
edupression;depressive episodes, Recurrent depressive disorder;https://app.edupression.com/login;Web app;TRL 8;Mental Health;https://apps.apple.com/us/app/edupression-by-sofy-gmbh/id1562982041;https://play.google.com/store/apps/details?id=com.proappdev.edupression_web_mobile_app&hl=en;https://play-lh.googleusercontent.com/nkzNdBhzOZ6FVKdJV6Ru1lBCM8UbFCqx2HDcDvG4hq6tq8hi9rGIcMdXtRbUyKjaWQ=w240-h480-rw;Recognize patterns & initiate changes, become an expert in your illness, less depression symptoms, practical recommendations & tips, better quality of life.
EKGDX;CVD;https://ekgdx.com/;Web, Android & iOS;TRL 8;Cardio;EKGDX on the App Store;EKGDX - Apps on Google Play;https://play-lh.googleusercontent.com/skU0HKrQnP-c9mznaWpIsxh2EKsQt17ENf7b-NljXVsMU8zYcBmfz3YuNvzeeXkT_w=w240-h480-rw;EKGDX is a digital health app that provides advanced electrocardiogram (ECG) analysis through wearable devices or smartphone-connected sensors. It offers real-time heart monitoring, detects arrhythmias, and provides detailed cardiac health insights to users, aiming to enhance cardiovascular care and early detection of potential heart issues.
Elevate - Brain Training Games;medical game;https://elevateapp.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/elevate-brain-training-games/id875063456;https://play.google.com/store/apps/details?id=com.wonder;https://play-lh.googleusercontent.com/uMZu0lwKn6elezZmZHQaav41ScrtJVGCoevdmjT0fMqRR2ydP_2FxWflo_ysYHKG3EoB=s48-rw;Elevate is an award-winning brain trainer that uses fun games and teasers to improve vocabulary, speaking skills, processing speed, memory skills, mental math and more for adults and students.
Embassador Companion 24/7;Management and Monitoring;https://embassador.com;Web, Android & iOS;TRL 7;Diabet;embassador™ Companion 24/7 on the App Store;embassador™ Companion 24/7 - Apps on Google Play;https://is1-ssl.mzstatic.com/image/thumb/Purple126/v4/a8/40/15/a84015bc-5e3a-988d-1057-f1fa5be8c896/AppIcons-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.webp;Embassador Companion 24/7 is a support platform designed to provide continuous assistance and companionship. It offers real-time help and guidance, potentially in areas such as healthcare, personal support, or technology. The service aims to deliver round-the-clock support, enhancing users' well-being and addressing their needs with timely, personalized assistance.
Emed;Comprehensive Health;https://www.emed.com/uk/download-app;iOS, Android, Website;9;Prevention;https://apps.apple.com/gb/app/emed/id858558101;https://play.google.com/store/apps/details?id=com.babylon&hl=en;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/8b/34/4a/8b344ae9-e466-04dc-b69f-a48692e68753/AppIconEmed-0-0-1x_U007emarketing-0-7-0-0-85-220.png/246x0w.webp;Comprehensive health app offering consultations, health monitoring, and health assessments
eMoods;support;https://emoodtracker.com/ ;Web, Android & iOS;TRL 8;Mental Health;https://apps.apple.com/us/app/emoods-bipolar-mood-tracker/id1184456130 ;https://play.google.com/store/apps/details?id=my.tracker ;https://play-lh.googleusercontent.com/BjUIg0ycTGpMvuClqlkiRgWEQLm2X6AiGyJtxNhCSSakIaoYOUokJIr4gol-PQ97Zkc=w240-h480-rw ;It is a mood tracking app aimed at assisting individuals with mood disorders, such as bipolar disorder and depression. It provides tools for users to monitor their emotional state, identify patterns, and gain insights that can be valuable for managing their mental health.
ESC CVD Risk Calculation;CVD;https://www.escardio.org/;Web, Android & iOS;TRL 8;Cardio;ESC CVD Risk Calculation on the App Store;ESC CVD Risk Calculation - Apps on Google Play;https://is1-ssl.mzstatic.com/image/thumb/Purple126/v4/e4/91/ad/e491adb1-6e2c-0690-4ffc-854acd31754d/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.webp;ESC CVD Risk Calculation is a tool developed by the European Society of Cardiology (ESC) to estimate an individual's risk of developing cardiovascular disease (CVD) over a specified period, typically 10 years. The tool uses a range of clinical and demographic factors such as age, sex, blood pressure, cholesterol levels, smoking status, and diabetes to provide a personalized risk assessment. This helps healthcare providers in making informed decisions about preventive measures and treatment plans.
FitBit;Prevention;https://www.fitbit.com/global/us/home;Web, Android & iOS;TRL 9;Prevention;https://apps.apple.com/us/app/fitbit-health-fitness/id462638897;https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile&hl=en_US;https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/ce/99/d5/ce99d55e-a95d-4d5d-f716-a4d3e90d8ba2/AppIcon-0-1x_U007emarketing-0-0-0-6-0-0-0-85-220-0.png/246x0w.webp;Fitbit is a leading brand in fitness and health tracking, offering a range of wearable devices like fitness trackers and smartwatches. These devices monitor various health metrics, including steps, heart rate, sleep quality, and physical activity, helping users stay active and manage their well-being. Available on iOS and Android, Fitbit also features a companion app that provides insights and personalized recommendations.
Flo;menstrual cycle tracking, Health Insights and Education;https://flo.health/ ;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/flo-period-pregnancy-tracker/id1038369065 ;https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker ;https://play-lh.googleusercontent.com/PAfUiu86ZQhFzYLRXcaqno8DXc-1hQtFd9MLkEjuursh40S_x8VOlgpmWKFLgiaNz-4=w240-h480-rw ;It is a women's health and menstrual cycle management app designed to help users track and better understand their reproductive and overall health.
